,name,price,img_url,detail,flavor
0,かむほど旨いたこ燻製,398,https://www.family.co.jp/content/dam/family/goods/5013234.jpg,国産水たこを使用した、噛むほどにたこの旨みと燻製の香りを感じる味わいです。,3
1,しっとり食感のご褒美ソフトチョコクッキー,168,https://www.family.co.jp/content/dam/family/goods/4821939.jpg,マカダミア、アーモンド、ココナッツ3種類の素材を使用した、濃厚なチョコ風味としっとり食感が特徴のソフトクッキーです。,1
2,カンロ　4Dグミ　モンキーバナナ,198,https://www.family.co.jp/content/dam/family/goods/4727439.jpg,モンキー型はコーラ味、バナナ型はバナナ味の味わいが楽しめる立体型グミです。,1
3,森永　大粒ラムネ　うめソルト味,140,https://www.family.co.jp/content/dam/family/goods/4729402.jpg,粒の大きさが通常の約1.5倍の大粒ラムネです。ほんのり塩味と甘酸っぱいうめの味わいが楽しめます。,3
4,パイン　塩スイカアメ,178,https://www.family.co.jp/content/dam/family/goods/4733850.jpg,熊本県産のスイカ果汁を使用した、ちょっぴり塩味のきいた、ジューシーなスイカ味のキャンディです。パインアメシリーズです。,3
5,コリコリとした食感のいかなんこつ,321,https://www.family.co.jp/content/dam/family/goods/5011667.jpg,まろやかな甘酢仕立てのいかなんこつ、甘みと酸味のバランスが楽しめます。,3
6,山芳　ポテトチップスわさわさわさビーフ,168,https://www.family.co.jp/content/dam/family/goods/4912736.jpg,食べ進めるごとにやみつきになる味わいのわさビーフ史上わさび量最大の刺激と旨さが感じられるポテトチップスです。,3
7,ちぎって旨いのしいか,378,https://www.family.co.jp/content/dam/family/goods/5010325.jpg,国産いか魚醤を使用した、ちぎって食べられるのしいかです。,1
8,三立製菓　バナナなチョコバット,54,https://www.family.co.jp/content/dam/family/goods/4752196.jpg,駄菓子の定番「チョコバット」の新フレーバー、チョコバナナ味です。食べやすいスティックタイプのチョコバットにバナナクリームが入った特別なチョコバットです。,1
9,香ばしアーモンド仕立てご褒美キャラメルポップコーン,168,https://www.family.co.jp/content/dam/family/goods/4822820.jpg,キャラメルの甘さとアーモンドの香ばしい味わいの食べごたえのあるガリザク食感のポップコーンです。,1
